nome,idade,estrelas,releases,url,LCOM,LOC,CBO,DIT
JoanZapata/android-iconify,3746,3918,0,https://github.com/JoanZapata/android-iconify,1.0,909,3.0,2.0
pqpo/SmartCropper,2233,3899,13,https://github.com/pqpo/SmartCropper,0.0,1004,3.0,2.0
bluelinelabs/Conductor,2738,3881,36,https://github.com/bluelinelabs/Conductor,0.0,5369,3.0,4.0
discord-jda/JDA,2833,3874,77,https://github.com/discord-jda/JDA,3.0,54847,6.0,6.0
codeestX/ENViews,2492,1768,4,https://github.com/codeestX/ENViews,0.0,1665,2.0,2.0
heinrichreimer/material-intro,2764,1743,19,https://github.com/heinrichreimer/material-intro,0.0,4369,3.0,9.0
NordicSemiconductor/Android-BLE-Library,2096,1731,56,https://github.com/NordicSemiconductor/Android-BLE-Library,1.0,16005,4.0,6.0
singwhatiwanna/android-art-res,2974,1721,0,https://github.com/singwhatiwanna/android-art-res,1.0,6877,3.0,3.0
ImmortalZ/StereoView,2617,1693,0,https://github.com/ImmortalZ/StereoView,0.0,910,2.0,3.0
whilu/AndroidTagView,2815,1692,13,https://github.com/whilu/AndroidTagView,0.0,1615,2.0,3.0
linkedin/ambry,3610,1690,112,https://github.com/linkedin/ambry,0.0,204013,5.0,7.0
ImmortalZ/TransitionHelper,2510,1641,0,https://github.com/ImmortalZ/TransitionHelper,1.0,1329,5.0,3.0
OpenVidu/openvidu,2530,1640,42,https://github.com/OpenVidu/openvidu,0.0,26104,3.0,5.0
daimajia/AnimeTaste,3648,1621,5,https://github.com/daimajia/AnimeTaste,0.0,6539,3.0,5.0
CatVodTVOfficial/CatVodTVSpider,723,1616,0,https://github.com/CatVodTVOfficial/CatVodTVSpider,1.0,9845,3.0,4.0
MiCode/FileExplorer,4266,1585,0,https://github.com/MiCode/FileExplorer,0.0,8428,3.0,4.0
apache/sedona,3065,1570,65,https://github.com/apache/sedona,0.0,25744,5.0,100.0
ocetnik/react-native-background-timer,2682,1547,0,https://github.com/ocetnik/react-native-background-timer,3.0,92,1.0,2.0
Baeldung/spring-security-registration,2752,1540,0,https://github.com/Baeldung/spring-security-registration,1.0,3318,6.0,4.0
zyyoona7/EasyPopup,2878,1533,6,https://github.com/zyyoona7/EasyPopup,0.0,1595,2.0,3.0
nispok/snackbar,3313,1531,37,https://github.com/nispok/snackbar,0.0,2163,3.0,3.0
javiersantos/PiracyChecker,2667,1528,16,https://github.com/javiersantos/PiracyChecker,0.0,1996,4.0,3.0
wiztools/rest-client,3510,1520,6,https://github.com/wiztools/rest-client,0.0,13566,2.0,8.0
SundeepK/CompactCalendarView,3042,1513,0,https://github.com/SundeepK/CompactCalendarView,0.0,3679,2.0,2.0
typ0520/fastdex,2619,1487,14,https://github.com/typ0520/fastdex,0.0,9653,2.0,8.0
TonicArtos/StickyGridHeaders,3905,1474,0,https://github.com/TonicArtos/StickyGridHeaders,0.0,1879,2.0,8.0
markushi/android-circlebutton,3494,1473,0,https://github.com/markushi/android-circlebutton,3.0,138,6.0,3.0
