nome,idade,estrelas,releases,url
DeqingSun/ESP8266-Dash-Button,3074,141,0,https://github.com/DeqingSun/ESP8266-Dash-Button
androidflux/flux,2828,141,0,https://github.com/androidflux/flux
Batterii/PagingRecycler,2722,141,2,https://github.com/Batterii/PagingRecycler
githubwing/CustomBehavior,2578,141,0,https://github.com/githubwing/CustomBehavior
apache/incubator-brooklyn,3422,141,0,https://github.com/apache/incubator-brooklyn
qzind/qz-print,3376,140,9,https://github.com/qzind/qz-print
chensoul/learning-hadoop,3459,140,1,https://github.com/chensoul/learning-hadoop
xiaanming/SlidingFinish,3473,140,0,https://github.com/xiaanming/SlidingFinish
paveldudka/AndroidRippleDemo,3342,140,0,https://github.com/paveldudka/AndroidRippleDemo
xiazdong/RecyclerViewDemo,2528,140,0,https://github.com/xiazdong/RecyclerViewDemo
codinguser/android_contact_picker,4303,140,0,https://github.com/codinguser/android_contact_picker
Alan-Mo/ImageSelectAndCutDemo,2560,140,0,https://github.com/Alan-Mo/ImageSelectAndCutDemo
leerduo/FilterDropDownMenu,3027,140,0,https://github.com/leerduo/FilterDropDownMenu
kenyee/android-ddp-client,3697,140,0,https://github.com/kenyee/android-ddp-client
adyliu/zkclient,4172,140,2,https://github.com/adyliu/zkclient
tekinarslan/AndroidPdfViewer,3260,140,0,https://github.com/tekinarslan/AndroidPdfViewer
danialgoodwin/android-widget-keyboardless-edittext,3389,140,0,https://github.com/danialgoodwin/android-widget-keyboardless-edittext
jerryion/DragMoreScrollView,2267,140,0,https://github.com/jerryion/DragMoreScrollView
bouncestorage/chaos-http-proxy,3098,139,2,https://github.com/bouncestorage/chaos-http-proxy
smuyyh/CommonLibary,2714,139,0,https://github.com/smuyyh/CommonLibary
m039/beacon-keeper,3190,139,3,https://github.com/m039/beacon-keeper
sevar83/indeterminate-checkbox,2896,139,0,https://github.com/sevar83/indeterminate-checkbox
panpf/pager-indicator,3684,139,4,https://github.com/panpf/pager-indicator
hanks-zyh/ScrollViewOnTouch,3184,139,0,https://github.com/hanks-zyh/ScrollViewOnTouch
bulletnoid/StaggeredGridView,3663,139,0,https://github.com/bulletnoid/StaggeredGridView
xuningjack/CustomClock,2388,139,0,https://github.com/xuningjack/CustomClock
Jerey-Jobs/KeepGank,2406,139,1,https://github.com/Jerey-Jobs/KeepGank
postalservice14/vuejs-plugin,2850,139,0,https://github.com/postalservice14/vuejs-plugin
Ellzord/JALSE,3222,139,13,https://github.com/Ellzord/JALSE
swaechter/angularj-universal,2339,139,3,https://github.com/swaechter/angularj-universal
processing-r/Processing.R,2578,139,12,https://github.com/processing-r/Processing.R
chg122345/jleopard,1979,139,5,https://github.com/chg122345/jleopard
FasterXML/jackson-dataformat-yaml,4185,139,0,https://github.com/FasterXML/jackson-dataformat-yaml
filoghost/HolographicDisplays,3461,339,0,https://github.com/filoghost/HolographicDisplays
Mirror0oo0/im,69,339,0,https://github.com/Mirror0oo0/im
Netflix/recipes-rss,3862,339,0,https://github.com/Netflix/recipes-rss
je-ge/spring-boot,2485,338,0,https://github.com/je-ge/spring-boot
ismoli/DynamicRecyclerView,3180,338,0,https://github.com/ismoli/DynamicRecyclerView
mikepenz/ItemAnimators,2805,338,12,https://github.com/mikepenz/ItemAnimators
yeungeek/monkey-android,2712,337,1,https://github.com/yeungeek/monkey-android
pcevikogullari/AndroidShortcuts,2519,337,0,https://github.com/pcevikogullari/AndroidShortcuts
duanhong169/ColorPicker,1887,337,9,https://github.com/duanhong169/ColorPicker
eclipse-ee4j/glassfish,1825,336,33,https://github.com/eclipse-ee4j/glassfish
Glucosio/glucosio-android,3013,335,28,https://github.com/Glucosio/glucosio-android
openmessaging/benchmark,2145,335,0,https://github.com/openmessaging/benchmark
aionnetwork/aion,2061,335,46,https://github.com/aionnetwork/aion
wayn111/waynboot-mall,1237,335,0,https://github.com/wayn111/waynboot-mall
antonkrasov/AndroidProgressLayout,3231,334,0,https://github.com/antonkrasov/AndroidProgressLayout
neykov/extract-tls-secrets,3117,334,4,https://github.com/neykov/extract-tls-secrets
wicketstuff/core,4641,333,2,https://github.com/wicketstuff/core
consp1racy/android-support-preference,3045,333,10,https://github.com/consp1racy/android-support-preference
MatusKysel/EMVemulator,3451,333,2,https://github.com/MatusKysel/EMVemulator
reoky/android-crackme-challenge,3270,332,0,https://github.com/reoky/android-crackme-challenge
wepe/PPD_RiskControlCompetition,2673,332,0,https://github.com/wepe/PPD_RiskControlCompetition
halzhang/StartupNews,3844,331,0,https://github.com/halzhang/StartupNews
streamsupport/streamsupport,2852,331,23,https://github.com/streamsupport/streamsupport
amigoscode/full-stack-professional,276,331,0,https://github.com/amigoscode/full-stack-professional
yixia/VitamioBundleStudio,2357,329,0,https://github.com/yixia/VitamioBundleStudio
GadgetCheck/TinderView,2876,328,0,https://github.com/GadgetCheck/TinderView
amazon-archives/amazon-kinesis-connectors,3579,328,3,https://github.com/amazon-archives/amazon-kinesis-connectors
liuguangli/FloatUtil,2516,328,0,https://github.com/liuguangli/FloatUtil
AlanCheen/PracticeDemo,3006,328,0,https://github.com/AlanCheen/PracticeDemo
pocmo/Yaaic,5222,327,2,https://github.com/pocmo/Yaaic
Ifxcyr/PathLayoutManager,1937,327,0,https://github.com/Ifxcyr/PathLayoutManager
wendux/WebViewJavascriptBridge,2064,327,0,https://github.com/wendux/WebViewJavascriptBridge
petterobam/html2file,1996,327,0,https://github.com/petterobam/html2file
hitherejoe/Constraints,2674,326,0,https://github.com/hitherejoe/Constraints
marcelpinto/RxFlux,2897,326,2,https://github.com/marcelpinto/RxFlux
giraud/reasonml-idea-plugin,2424,326,0,https://github.com/giraud/reasonml-idea-plugin
BasicAirData/GPSLogger,3251,326,44,https://github.com/BasicAirData/GPSLogger
MuiseDestiny/zotero-file,49,326,20,https://github.com/MuiseDestiny/zotero-file
vladexologija/PinterestListView,3950,324,0,https://github.com/vladexologija/PinterestListView
ybq/nougat-boot-animation,2603,324,0,https://github.com/ybq/nougat-boot-animation
leonchen83/redis-rdb-cli,1901,324,40,https://github.com/leonchen83/redis-rdb-cli
antoniolg/DaggerExample,3381,323,0,https://github.com/antoniolg/DaggerExample
cescoffier/vertx-microservices-workshop,2712,323,0,https://github.com/cescoffier/vertx-microservices-workshop
mkch/android-wifi-connecter,3025,323,0,https://github.com/mkch/android-wifi-connecter
google/mug,2403,323,43,https://github.com/google/mug
lemonlabs/ExpandableButtonMenu,3557,323,2,https://github.com/lemonlabs/ExpandableButtonMenu
naver/fixture-monkey,756,323,39,https://github.com/naver/fixture-monkey
evant/rxloader,3496,322,0,https://github.com/evant/rxloader
umeng/apf,3821,321,0,https://github.com/umeng/apf
SignalR/java-client,3530,321,0,https://github.com/SignalR/java-client
fennifith/Alarmio,2214,321,13,https://github.com/fennifith/Alarmio
sdaschner/jaxrs-analyzer,3121,320,6,https://github.com/sdaschner/jaxrs-analyzer
jakebonk/BoardView,2285,320,2,https://github.com/jakebonk/BoardView
johnkil/SideNavigation,4104,319,2,https://github.com/johnkil/SideNavigation
satya-verma/Data-Structures-and-Algorithms--using-JAVA,1208,319,0,https://github.com/satya-verma/Data-Structures-and-Algorithms--using-JAVA
wepe/tgboost,2473,318,0,https://github.com/wepe/tgboost
Commit451/ElasticDragDismissLayout,2788,317,0,https://github.com/Commit451/ElasticDragDismissLayout
AlexDisler/cordova-plugin-inapppurchase,2756,316,0,https://github.com/AlexDisler/cordova-plugin-inapppurchase
3pillarlabs/socialauth-android,3655,316,0,https://github.com/3pillarlabs/socialauth-android
Civitasv/AMapPoi,877,316,13,https://github.com/Civitasv/AMapPoi
slidenerd/materialtest,3108,314,0,https://github.com/slidenerd/materialtest
promeG/XLog,3109,313,2,https://github.com/promeG/XLog
easemob/sdkdemoapp3.0_android,2946,313,0,https://github.com/easemob/sdkdemoapp3.0_android
ameizi/spring-quartz-cluster-sample,2597,313,0,https://github.com/ameizi/spring-quartz-cluster-sample
matthewrkula/AnimatedPathView,3513,313,0,https://github.com/matthewrkula/AnimatedPathView
hacktoberfest17/programming,2160,312,6,https://github.com/hacktoberfest17/programming
ongakuer/ViewPagerHeaderScrollDemo,3200,311,0,https://github.com/ongakuer/ViewPagerHeaderScrollDemo
