Name,Language,URL
vite,TypeScript,https://github.com/vitejs/vite
markdown-here,JavaScript,https://github.com/adam-p/markdown-here
keras,Python,https://github.com/keras-team/keras
angular.js,JavaScript,https://github.com/angular/angular.js
socket.io,TypeScript,https://github.com/socketio/socket.io
github-readme-stats,JavaScript,https://github.com/anuraghazra/github-readme-stats
architect-awesome,none,https://github.com/xingshaocheng/architect-awesome
ansible,Python,https://github.com/ansible/ansible
awesome-react,none,https://github.com/enaqx/awesome-react
jquery,JavaScript,https://github.com/jquery/jquery
Front-end-Developer-Interview-Questions,Nunjucks,https://github.com/h5bp/Front-end-Developer-Interview-Questions
nocode,Dockerfile,https://github.com/kelseyhightower/nocode
33-js-concepts,JavaScript,https://github.com/leonardomso/33-js-concepts
awesome-interview-questions,none,https://github.com/DopplerHQ/awesome-interview-questions
lodash,JavaScript,https://github.com/lodash/lodash
devops-exercises,Python,https://github.com/bregman-arie/devops-exercises
shadowsocks-windows,C#,https://github.com/shadowsocks/shadowsocks-windows
grafana,TypeScript,https://github.com/grafana/grafana
echarts,TypeScript,https://github.com/apache/echarts
funNLP,Python,https://github.com/fighting41love/funNLP
supabase,TypeScript,https://github.com/supabase/supabase
javascript-questions,none,https://github.com/lydiahallie/javascript-questions
awesome-for-beginners,none,https://github.com/MunGell/awesome-for-beginners
strapi,JavaScript,https://github.com/strapi/strapi
awesome-public-datasets,none,https://github.com/awesomedata/awesome-public-datasets
scikit-learn,Python,https://github.com/scikit-learn/scikit-learn
HowToCook,Shell,https://github.com/Anduin2017/HowToCook
cpython,Python,https://github.com/python/cpython
Apollo-11,Assembly,https://github.com/chrislgarry/Apollo-11
html5-boilerplate,JavaScript,https://github.com/h5bp/html5-boilerplate
yt-dlp,Python,https://github.com/yt-dlp/yt-dlp
gatsby,JavaScript,https://github.com/gatsbyjs/gatsby
playwright,TypeScript,https://github.com/microsoft/playwright
fzf,Go,https://github.com/junegunn/fzf
hoppscotch,TypeScript,https://github.com/hoppscotch/hoppscotch
syncthing,Go,https://github.com/syncthing/syncthing
excalidraw,TypeScript,https://github.com/excalidraw/excalidraw
superset,TypeScript,https://github.com/apache/superset
element,Vue,https://github.com/ElemeFE/element
rails,Ruby,https://github.com/rails/rails
Java,Java,https://github.com/TheAlgorithms/Java
ML-For-Beginners,HTML,https://github.com/microsoft/ML-For-Beginners
manim,Python,https://github.com/3b1b/manim
design-resources-for-developers,none,https://github.com/bradtraversy/design-resources-for-developers
tesseract,C++,https://github.com/tesseract-ocr/tesseract
spring-framework,Java,https://github.com/spring-projects/spring-framework
awesome-nodejs,none,https://github.com/sindresorhus/awesome-nodejs
Ventoy,C,https://github.com/ventoy/Ventoy
leetcode,JavaScript,https://github.com/azl397985856/leetcode
Best-websites-a-programmer-should-visit,none,https://github.com/sdmg15/Best-websites-a-programmer-should-visit
gpt4all,C++,https://github.com/nomic-ai/gpt4all
DeepLearning-500-questions,JavaScript,https://github.com/scutan90/DeepLearning-500-questions
react-router,TypeScript,https://github.com/remix-run/react-router
normalize.css,CSS,https://github.com/necolas/normalize.css
Semantic-UI,JavaScript,https://github.com/Semantic-Org/Semantic-UI
PayloadsAllTheThings,Python,https://github.com/swisskyrepo/PayloadsAllTheThings
tabby,TypeScript,https://github.com/Eugeny/tabby
requests,Python,https://github.com/psf/requests
obs-studio,C,https://github.com/obsproject/obs-studio
imgui,C++,https://github.com/ocornut/imgui
prometheus,Go,https://github.com/prometheus/prometheus
ionic-framework,TypeScript,https://github.com/ionic-team/ionic-framework
caddy,Go,https://github.com/caddyserver/caddy
face_recognition,Python,https://github.com/ageitgey/face_recognition
awesome-courses,none,https://github.com/prakhar1989/awesome-courses
SecLists,PHP,https://github.com/danielmiessler/SecLists
awesome-cpp,none,https://github.com/fffaraz/awesome-cpp
material-design-icons,none,https://github.com/google/material-design-icons
alacritty,Rust,https://github.com/alacritty/alacritty
scrapy,Python,https://github.com/scrapy/scrapy
localstack,Python,https://github.com/localstack/localstack
awesome-flutter,Dart,https://github.com/Solido/awesome-flutter
guava,Java,https://github.com/google/guava
you-get,Python,https://github.com/soimort/you-get
awesome-scalability,none,https://github.com/binhnguyennus/awesome-scalability
moment,JavaScript,https://github.com/moment/moment
bulma,CSS,https://github.com/jgthms/bulma
docusaurus,TypeScript,https://github.com/facebook/docusaurus
nuxt,TypeScript,https://github.com/nuxt/nuxt
RxJava,Java,https://github.com/ReactiveX/RxJava
git,C,https://github.com/git/git
awesome-android-ui,none,https://github.com/wasabeef/awesome-android-ui
jekyll,Ruby,https://github.com/jekyll/jekyll
openai-cookbook,Jupyter Notebook,https://github.com/openai/openai-cookbook
anime,JavaScript,https://github.com/juliangarnier/anime
faceswap,Python,https://github.com/deepfakes/faceswap
hacker-scripts,JavaScript,https://github.com/NARKOZ/hacker-scripts
v2rayN,C#,https://github.com/2dust/v2rayN
prettier,JavaScript,https://github.com/prettier/prettier
d2l-zh,Python,https://github.com/d2l-ai/d2l-zh
rustdesk,Rust,https://github.com/rustdesk/rustdesk
new-pac,none,https://github.com/Alvin9999/new-pac
clash,Go,https://github.com/Dreamacro/clash
nerd-fonts,CSS,https://github.com/ryanoasis/nerd-fonts
kotlin,Kotlin,https://github.com/JetBrains/kotlin
tldr,Markdown,https://github.com/tldr-pages/tldr
big-list-of-naughty-strings,Python,https://github.com/minimaxir/big-list-of-naughty-strings
serverless,JavaScript,https://github.com/serverless/serverless
DefinitelyTyped,TypeScript,https://github.com/DefinitelyTyped/DefinitelyTyped
cypress,JavaScript,https://github.com/cypress-io/cypress
chinese-poetry,JavaScript,https://github.com/chinese-poetry/chinese-poetry
rich,Python,https://github.com/Textualize/rich
learn-regex,none,https://github.com/ziishaned/learn-regex
Real-Time-Voice-Cloning,Python,https://github.com/CorentinJ/Real-Time-Voice-Cloning
gpt4free,Python,https://github.com/xtekky/gpt4free
traefik,Go,https://github.com/traefik/traefik
okhttp,Kotlin,https://github.com/square/okhttp
etcd,Go,https://github.com/etcd-io/etcd
algorithm-visualizer,JavaScript,https://github.com/algorithm-visualizer/algorithm-visualizer
dayjs,JavaScript,https://github.com/iamkun/dayjs
whisper,Python,https://github.com/openai/whisper
Ghost,JavaScript,https://github.com/TryGhost/Ghost
mastodon,Ruby,https://github.com/mastodon/mastodon
awesome-ios,Swift,https://github.com/vsouza/awesome-ios
meteor,JavaScript,https://github.com/meteor/meteor
pdf.js,JavaScript,https://github.com/mozilla/pdf.js
bun,Zig,https://github.com/oven-sh/bun
go-ethereum,Go,https://github.com/ethereum/go-ethereum
pi-hole,Shell,https://github.com/pi-hole/pi-hole
awesome-chatgpt-prompts-zh,none,https://github.com/PlexPt/awesome-chatgpt-prompts-zh
architecture-samples,Kotlin,https://github.com/android/architecture-samples
julia,Julia,https://github.com/JuliaLang/julia
v2ray-core,Go,https://github.com/v2ray/v2ray-core
sherlock,Python,https://github.com/sherlock-project/sherlock
TensorFlow-Examples,Jupyter Notebook,https://github.com/aymericdamien/TensorFlow-Examples
AdminLTE,Astro,https://github.com/ColorlibHQ/AdminLTE
gogs,Go,https://github.com/gogs/gogs
Projects,none,https://github.com/karan/Projects
bat,Rust,https://github.com/sharkdp/bat
parcel,JavaScript,https://github.com/parcel-bundler/parcel
act,Go,https://github.com/nektos/act
jest,TypeScript,https://github.com/jestjs/jest
babel,TypeScript,https://github.com/babel/babel
drawio-desktop,JavaScript,https://github.com/jgraph/drawio-desktop
mkcert,Go,https://github.com/FiloSottile/mkcert
build-web-application-with-golang,Go,https://github.com/astaxie/build-web-application-with-golang
DeepFaceLab,Python,https://github.com/iperov/DeepFaceLab
gpt-engineer,Python,https://github.com/AntonOsika/gpt-engineer
github-cheat-sheet,none,https://github.com/tiimgreen/github-cheat-sheet
react,JavaScript,https://github.com/typescript-cheatsheets/react
ChatGPT-Next-Web,TypeScript,https://github.com/Yidadaa/ChatGPT-Next-Web
ghidra,Java,https://github.com/NationalSecurityAgency/ghidra
retrofit,Java,https://github.com/square/retrofit
awesome-wechat-weapp,none,https://github.com/justjavac/awesome-wechat-weapp
design-patterns-for-humans,none,https://github.com/kamranahmedse/design-patterns-for-humans
100-Days-Of-ML-Code,none,https://github.com/Avik-Jain/100-Days-Of-ML-Code
project-layout,Makefile,https://github.com/golang-standards/project-layout
leetcode-master,Shell,https://github.com/youngyangyang04/leetcode-master
x64dbg,C++,https://github.com/x64dbg/x64dbg
openpilot,Python,https://github.com/commaai/openpilot
hyper,TypeScript,https://github.com/vercel/hyper
rustlings,Rust,https://github.com/rust-lang/rustlings
yarn,JavaScript,https://github.com/yarnpkg/yarn
git-flight-rules,none,https://github.com/k88hudson/git-flight-rules
marktext,JavaScript,https://github.com/marktext/marktext
yolov5,Python,https://github.com/ultralytics/yolov5
trackerslist,none,https://github.com/ngosang/trackerslist
Microsoft-Activation-Scripts,Batchfile,https://github.com/massgravel/Microsoft-Activation-Scripts
pixijs,TypeScript,https://github.com/pixijs/pixijs
ChatGPT,Rust,https://github.com/lencx/ChatGPT
minio,Go,https://github.com/minio/minio
bypass-paywalls-chrome,JavaScript,https://github.com/iamadamdev/bypass-paywalls-chrome
llama,Python,https://github.com/facebookresearch/llama
PowerShell,C#,https://github.com/PowerShell/PowerShell
gpt_academic,Python,https://github.com/binary-husky/gpt_academic
vue2-elm,Vue,https://github.com/bailicangdu/vue2-elm
Motrix,JavaScript,https://github.com/agalwood/Motrix
rclone,Go,https://github.com/rclone/rclone
core,TypeScript,https://github.com/vuejs/core
nw.js,JavaScript,https://github.com/nwjs/nw.js
ripgrep,Rust,https://github.com/BurntSushi/ripgrep
Alamofire,Swift,https://github.com/Alamofire/Alamofire
llama.cpp,C,https://github.com/ggerganov/llama.cpp
pm2,JavaScript,https://github.com/Unitech/pm2
pandas,Python,https://github.com/pandas-dev/pandas
styled-components,TypeScript,https://github.com/styled-components/styled-components
PythonDataScienceHandbook,Jupyter Notebook,https://github.com/jakevdp/PythonDataScienceHandbook
dubbo,Java,https://github.com/apache/dubbo
huginn,Ruby,https://github.com/huginn/huginn
frontend-dev-bookmarks,none,https://github.com/dypsilon/frontend-dev-bookmarks
materialize,JavaScript,https://github.com/Dogfalo/materialize
grpc,C++,https://github.com/grpc/grpc
CppCoreGuidelines,Python,https://github.com/isocpp/CppCoreGuidelines
discourse,Ruby,https://github.com/discourse/discourse
terraform,Go,https://github.com/hashicorp/terraform
uni-app,JavaScript,https://github.com/dcloudio/uni-app
meilisearch,Rust,https://github.com/meilisearch/meilisearch
lazygit,Go,https://github.com/jesseduffield/lazygit
hiring-without-whiteboards,JavaScript,https://github.com/poteto/hiring-without-whiteboards
zx,JavaScript,https://github.com/google/zx
Leaflet,JavaScript,https://github.com/Leaflet/Leaflet
powerlevel10k,Shell,https://github.com/romkatv/powerlevel10k
joplin,TypeScript,https://github.com/laurent22/joplin
front-end-interview-handbook,MDX,https://github.com/yangshun/front-end-interview-handbook
gitea,Go,https://github.com/go-gitea/gitea
edex-ui,JavaScript,https://github.com/GitSquared/edex-ui
30-Days-Of-JavaScript,JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript
FFmpeg,C,https://github.com/FFmpeg/FFmpeg
python-patterns,Python,https://github.com/faif/python-patterns
dive,Go,https://github.com/wagoodman/dive
react-use,TypeScript,https://github.com/streamich/react-use
vuetify,TypeScript,https://github.com/vuetifyjs/vuetify
segment-anything,Jupyter Notebook,https://github.com/facebookresearch/segment-anything
AppFlowy,Dart,https://github.com/AppFlowy-IO/AppFlowy
uptime-kuma,JavaScript,https://github.com/louislam/uptime-kuma
nocodb,TypeScript,https://github.com/nocodb/nocodb
fastlane,Ruby,https://github.com/fastlane/fastlane
Magisk,C++,https://github.com/topjohnwu/Magisk
awesome-java,none,https://github.com/akullpp/awesome-java
hexo,JavaScript,https://github.com/hexojs/hexo
first-contributions,none,https://github.com/firstcontributions/first-contributions
impress.js,JavaScript,https://github.com/impress/impress.js
what-happens-when,none,https://github.com/alex/what-happens-when
uBlock,JavaScript,https://github.com/gorhill/uBlock
awesome-react-components,none,https://github.com/brillout/awesome-react-components
brew,Ruby,https://github.com/Homebrew/brew
privateGPT,Python,https://github.com/imartinez/privateGPT
quill,TypeScript,https://github.com/quilljs/quill
MPAndroidChart,Java,https://github.com/PhilJay/MPAndroidChart
Rocket.Chat,TypeScript,https://github.com/RocketChat/Rocket.Chat
open-source-mac-os-apps,none,https://github.com/serhii-londar/open-source-mac-os-apps
spark,Scala,https://github.com/apache/spark
awesome-rust,Rust,https://github.com/rust-unofficial/awesome-rust
react-hook-form,TypeScript,https://github.com/react-hook-form/react-hook-form
freecodecamp.cn,CSS,https://github.com/FreeCodeCampChina/freecodecamp.cn
kubernetes-the-hard-way,none,https://github.com/kelseyhightower/kubernetes-the-hard-way
json,C++,https://github.com/nlohmann/json
ailearning,Python,https://github.com/apachecn/ailearning
swiper,JavaScript,https://github.com/nolimits4web/swiper
open-source-ios-apps,none,https://github.com/dkhamsing/open-source-ios-apps
Deep-Learning-Papers-Reading-Roadmap,Python,https://github.com/floodsung/Deep-Learning-Papers-Reading-Roadmap
video.js,JavaScript,https://github.com/videojs/video.js
query,TypeScript,https://github.com/TanStack/query
type-challenges,TypeScript,https://github.com/type-challenges/type-challenges
starship,Rust,https://github.com/starship/starship
jadx,Java,https://github.com/skylot/jadx
esbuild,Go,https://github.com/evanw/esbuild
cheat.sh,Python,https://github.com/chubin/cheat.sh
php-src,C,https://github.com/php/php-src
hackingtool,Python,https://github.com/Z4nzu/hackingtool
weekly,none,https://github.com/ruanyf/weekly
kong,Lua,https://github.com/Kong/kong
drawio,JavaScript,https://github.com/jgraph/drawio
jeecg-boot,Java,https://github.com/jeecgboot/jeecg-boot
slate,SCSS,https://github.com/slatedocs/slate
monaco-editor,JavaScript,https://github.com/microsoft/monaco-editor
interview_internal_reference,Python,https://github.com/0voice/interview_internal_reference
styleguide,HTML,https://github.com/google/styleguide
tabler,HTML,https://github.com/tabler/tabler
Prompt-Engineering-Guide,MDX,https://github.com/dair-ai/Prompt-Engineering-Guide
annotated_deep_learning_paper_implementations,Jupyter Notebook,https://github.com/labmlai/annotated_deep_learning_paper_implementations
bert,Python,https://github.com/google-research/bert
phaser,JavaScript,https://github.com/photonstorm/phaser
wrk,C,https://github.com/wg/wrk
sentry,Python,https://github.com/getsentry/sentry
Open-Assistant,Python,https://github.com/LAION-AI/Open-Assistant
preact,JavaScript,https://github.com/preactjs/preact
lerna,TypeScript,https://github.com/lerna/lerna
tutorials,Java,https://github.com/eugenp/tutorials
ant-design-pro,TypeScript,https://github.com/ant-design/ant-design-pro
tidb,Go,https://github.com/pingcap/tidb
fullPage.js,JavaScript,https://github.com/alvarotrigo/fullPage.js
pure-bash-bible,Shell,https://github.com/dylanaraps/pure-bash-bible
zustand,TypeScript,https://github.com/pmndrs/zustand
node-v0.x-archive,none,https://github.com/nodejs/node-v0.x-archive
awesome-cheatsheets,JavaScript,https://github.com/LeCoupa/awesome-cheatsheets
og-aws,Shell,https://github.com/open-guides/og-aws
v,V,https://github.com/vlang/v
JavaFamily,none,https://github.com/AobingJava/JavaFamily
iina,Swift,https://github.com/iina/iina
koa,JavaScript,https://github.com/koajs/koa
hackathon-starter,JavaScript,https://github.com/sahat/hackathon-starter
lottie-android,Java,https://github.com/airbnb/lottie-android
chakra-ui,TypeScript,https://github.com/chakra-ui/chakra-ui
nativefier,TypeScript,https://github.com/nativefier/nativefier
deeplearningbook-chinese,TeX,https://github.com/exacity/deeplearningbook-chinese
Made-With-ML,Jupyter Notebook,https://github.com/GokuMohandas/Made-With-ML
wtfpython,Python,https://github.com/satwikkansal/wtfpython
TaskMatrix,Python,https://github.com/microsoft/TaskMatrix
shadowsocks-android,Kotlin,https://github.com/shadowsocks/shadowsocks-android
metabase,Clojure,https://github.com/metabase/metabase
glide,Java,https://github.com/bumptech/glide
ChatGLM-6B,Python,https://github.com/THUDM/ChatGLM-6B
istio,Go,https://github.com/istio/istio
prisma,TypeScript,https://github.com/prisma/prisma
caffe,C++,https://github.com/BVLC/caffe
dbeaver,Java,https://github.com/dbeaver/dbeaver
taro,TypeScript,https://github.com/NervJS/taro
sheetjs,JavaScript,https://github.com/SheetJS/sheetjs
shadowsocks,Python,https://github.com/shadowsocks/shadowsocks
clipboard.js,JavaScript,https://github.com/zenorocha/clipboard.js
gorm,Go,https://github.com/go-gorm/gorm
leveldb,C++,https://github.com/google/leveldb
black,Python,https://github.com/psf/black
brackets,JavaScript,https://github.com/adobe/brackets
the-way-to-go_ZH_CN,Go,https://github.com/unknwon/the-way-to-go_ZH_CN
AFNetworking,Objective-C,https://github.com/AFNetworking/AFNetworking
zju-icicles,HTML,https://github.com/QSCTech/zju-icicles
python-cheatsheet,Python,https://github.com/gto76/python-cheatsheet
awesome-react-native,JavaScript,https://github.com/jondot/awesome-react-native
arthas,Java,https://github.com/alibaba/arthas
cs-self-learning,HTML,https://github.com/PKUFlyingPig/cs-self-learning
n8n,TypeScript,https://github.com/n8n-io/n8n
astro,TypeScript,https://github.com/withastro/astro
cobra,Go,https://github.com/spf13/cobra
pyenv,Roff,https://github.com/pyenv/pyenv
free,none,https://github.com/freefq/free
carbon,JavaScript,https://github.com/carbon-app/carbon
cli,Go,https://github.com/cli/cli
955.WLB,none,https://github.com/formulahendry/955.WLB
acme.sh,Shell,https://github.com/acmesh-official/acme.sh
shellcheck,Haskell,https://github.com/koalaman/shellcheck
appwrite,TypeScript,https://github.com/appwrite/appwrite
PaddleOCR,Python,https://github.com/PaddlePaddle/PaddleOCR
gulp,JavaScript,https://github.com/gulpjs/gulp
formik,TypeScript,https://github.com/jaredpalmer/formik
gold-miner,none,https://github.com/xitu/gold-miner
hello-algorithm,Java,https://github.com/geekxh/hello-algorithm
immutable-js,TypeScript,https://github.com/immutable-js/immutable-js
gym,Python,https://github.com/openai/gym
DragGAN,Python,https://github.com/XingangPan/DragGAN
aspnetcore,C#,https://github.com/dotnet/aspnetcore
vim,Vim Script,https://github.com/vim/vim
AndroidUtilCode,Java,https://github.com/Blankj/AndroidUtilCode
CPlusPlusThings,C++,https://github.com/Light-City/CPlusPlusThings
material-design-lite,HTML,https://github.com/google/material-design-lite
date-fns,TypeScript,https://github.com/date-fns/date-fns
devdocs,Ruby,https://github.com/freeCodeCamp/devdocs
XX-Net,Python,https://github.com/XX-net/XX-Net
mitmproxy,Python,https://github.com/mitmproxy/mitmproxy
typeorm,TypeScript,https://github.com/typeorm/typeorm
awesome-design-patterns,none,https://github.com/DovAmir/awesome-design-patterns
vim-plug,Vim Script,https://github.com/junegunn/vim-plug
GFPGAN,Python,https://github.com/TencentARC/GFPGAN
ColossalAI,Python,https://github.com/hpcaitech/ColossalAI
netty,Java,https://github.com/netty/netty
ShadowsocksX-NG,Swift,https://github.com/shadowsocks/ShadowsocksX-NG
wtfjs,JavaScript,https://github.com/denysdovhan/wtfjs
ijkplayer,C,https://github.com/bilibili/ijkplayer
fanqiang,Kotlin,https://github.com/bannedbook/fanqiang
reactjs-interview-questions,JavaScript,https://github.com/sudheerj/reactjs-interview-questions
airflow,Python,https://github.com/apache/airflow
zxing,Java,https://github.com/zxing/zxing
Docker-OSX,Shell,https://github.com/sickcodes/Docker-OSX
tesseract.js,JavaScript,https://github.com/naptha/tesseract.js
android-open-project,none,https://github.com/Trinea/android-open-project
awesome-javascript,none,https://github.com/sorrycc/awesome-javascript
aria2,C++,https://github.com/aria2/aria2
12306,Python,https://github.com/testerSunshine/12306
jieba,Python,https://github.com/fxsjy/jieba
curl,C,https://github.com/curl/curl
diagrams,Python,https://github.com/mingrammer/diagrams
metasploit-framework,Ruby,https://github.com/rapid7/metasploit-framework
carbon-lang,C++,https://github.com/carbon-language/carbon-lang
jQuery-File-Upload,PHP,https://github.com/blueimp/jQuery-File-Upload
react-beautiful-dnd,JavaScript,https://github.com/atlassian/react-beautiful-dnd
MockingBird,Python,https://github.com/babysor/MockingBird
googletest,C++,https://github.com/google/googletest
google-research,Jupyter Notebook,https://github.com/google-research/google-research
awesome-awesomeness,Ruby,https://github.com/bayandin/awesome-awesomeness
yuzu,C++,https://github.com/yuzu-emu/yuzu
ClickHouse,C++,https://github.com/ClickHouse/ClickHouse
LeetCode-Go,Go,https://github.com/halfrost/LeetCode-Go
odoo,JavaScript,https://github.com/odoo/odoo
marked,TypeScript,https://github.com/markedjs/marked
insomnia,JavaScript,https://github.com/Kong/insomnia
50projects50days,CSS,https://github.com/bradtraversy/50projects50days
compose,Go,https://github.com/docker/compose
spring-boot-demo,Java,https://github.com/xkcoding/spring-boot-demo
lx-music-desktop,TypeScript,https://github.com/lyswhut/lx-music-desktop
lazydocker,Go,https://github.com/jesseduffield/lazydocker
