Name,Total_releases,URL
the-book-of-secret-knowledge,0,https://github.com/trimstray/the-book-of-secret-knowledge
d3,193,https://github.com/d3/d3
free-programming-books-zh_CN,3,https://github.com/justjavac/free-programming-books-zh_CN
axios,61,https://github.com/axios/axios
kubernetes,623,https://github.com/kubernetes/kubernetes
create-react-app,83,https://github.com/facebook/create-react-app
stable-diffusion-webui,16,https://github.com/AUTOMATIC1111/stable-diffusion-webui
node,352,https://github.com/nodejs/node
PowerToys,84,https://github.com/microsoft/PowerToys
tech-interview-handbook,0,https://github.com/yangshun/tech-interview-handbook
three.js,148,https://github.com/mrdoob/three.js
TypeScript,182,https://github.com/microsoft/TypeScript
nodebestpractices,0,https://github.com/goldbergyoni/nodebestpractices
deno,241,https://github.com/denoland/deno
scrcpy,32,https://github.com/Genymobile/scrcpy
terminal,93,https://github.com/microsoft/terminal
angular,305,https://github.com/angular/angular
material-ui,422,https://github.com/mui/material-ui
awesome-chatgpt-prompts,0,https://github.com/f/awesome-chatgpt-prompts
ant-design,601,https://github.com/ant-design/ant-design
clean-code-javascript,0,https://github.com/ryanmcdermott/clean-code-javascript
rust,115,https://github.com/rust-lang/rust
puppeteer,289,https://github.com/puppeteer/puppeteer
vue-element-admin,49,https://github.com/PanJiaChen/vue-element-admin
java-design-patterns,0,https://github.com/iluwatar/java-design-patterns
storybook,1271,https://github.com/storybookjs/storybook
thefuck,17,https://github.com/nvbn/thefuck
animate.css,22,https://github.com/animate-css/animate.css
realworld,0,https://github.com/gothinkster/realworld
models,36,https://github.com/tensorflow/models
papers-we-love,0,https://github.com/papers-we-love/papers-we-love
Web-Dev-For-Beginners,0,https://github.com/microsoft/Web-Dev-For-Beginners
laravel,147,https://github.com/laravel/laravel
HelloGitHub,34,https://github.com/521xueweihan/HelloGitHub
LeetCodeAnimation,0,https://github.com/MisterBooo/LeetCodeAnimation
django,0,https://github.com/django/django
every-programmer-should-know,0,https://github.com/mtdvio/every-programmer-should-know
free-for-dev,0,https://github.com/ripienaar/free-for-dev
FiraCode,29,https://github.com/tonsky/FiraCode
svelte,13,https://github.com/sveltejs/svelte
Font-Awesome,52,https://github.com/FortAwesome/Font-Awesome
tailwindcss,213,https://github.com/tailwindlabs/tailwindcss
advanced-java,1,https://github.com/doocs/advanced-java
frp,84,https://github.com/fatedier/frp
bitcoin,43,https://github.com/bitcoin/bitcoin
gin,25,https://github.com/gin-gonic/gin
opencv,60,https://github.com/opencv/opencv
pytorch,45,https://github.com/pytorch/pytorch
nvm,64,https://github.com/nvm-sh/nvm
mall,2,https://github.com/macrozheng/mall
awesome-vue,0,https://github.com/vuejs/awesome-vue
spring-boot,186,https://github.com/spring-projects/spring-boot
neovim,33,https://github.com/neovim/neovim
hugo,240,https://github.com/gohugoio/hugo
Awesome-Hacking,0,https://github.com/Hack-with-Github/Awesome-Hacking
json-server,13,https://github.com/typicode/json-server
iptv,0,https://github.com/iptv-org/iptv
